words,links,capital_words,spam_word_count,is_spam
244,0,1,1,0
26,2,1,2,0
290,3,2,2,0
474,7,27,5,1
231,4,0,1,0
80,0,2,6,0
321,9,11,6,1
38,1,0,1,0
629,9,7,2,1
172,2,0,1,0
131,0,10,4,1
715,2,14,7,1
106,1,0,2,0
374,4,18,8,1
368,2,16,2,1
161,1,3,1,0
146,1,3,2,0
197,3,3,2,0
244,2,0,6,0
120,3,20,4,1
943,10,24,9,1
134,8,21,1,1
92,6,11,10,1
547,3,2,3,1
87,0,0,1,0
130,3,3,1,0
177,2,3,1,0
186,1,4,2,0
238,1,6,2,0
565,10,14,10,1
581,0,13,6,1
94,1,3,0,0
290,8,6,7,1
294,2,3,5,0
190,2,0,1,0
195,10,25,3,1
171,0,3,1,0
175,1,13,6,1
632,8,28,8,1
309,3,3,10,1
47,1,8,1,0
207,2,9,2,0
234,2,2,1,0
388,1,9,8,1
106,7,11,1,1
803,0,16,5,1
332,10,13,1,1
618,6,20,10,1
21,2,3,1,0
233,1,0,1,0
83,0,3,2,0
255,2,26,1,1
124,1,9,0,0
619,2,29,8,1
832,6,25,1,1
531,4,10,1,1
158,10,26,4,1
110,5,0,1,0
163,2,3,0,0
444,7,15,7,1
168,0,0,1,0
872,7,1,10,1
408,2,21,0,1
97,2,29,10,1
958,2,19,4,1
411,1,3,2,0
190,3,3,2,0
906,7,6,1,1
834,0,9,6,1
21,2,3,0,0
200,1,5,1,0
212,4,3,0,0
207,2,2,2,0
123,0,0,2,0
29,1,3,2,0
170,0,2,1,0
807,7,22,4,1
109,2,5,2,1
52,0,2,2,0
245,1,5,5,1
151,4,10,1,0
492,10,5,3,1
57,0,1,2,0
116,1,11,0,1
278,4,0,0,0
39,0,3,1,0
129,10,1,5,1
56,1,2,2,0
79,4,20,3,1
836,3,6,3,1
708,3,7,8,1
144,2,3,1,0
412,1,2,2,0
269,0,3,2,0
174,0,2,1,0
871,3,10,8,1
728,2,22,3,1
108,1,3,2,0
141,0,12,4,1
394,3,4,3,1
601,8,5,9,1
195,7,17,5,1
289,3,3,3,0
681,4,18,10,1
263,2,3,0,0
67,1,0,4,0
497,1,8,1,0
284,9,26,6,1
208,4,1,2,0
176,0,11,1,1
78,1,3,1,0
82,7,28,9,1
177,4,22,2,1
280,2,3,2,0
221,1,2,2,0
303,8,23,8,1
383,4,15,5,1
292,2,2,2,0
119,0,3,1,0
838,2,2,3,1
768,5,18,3,1
121,10,30,5,1
205,5,16,7,1
706,0,17,6,1
60,1,3,0,0
127,2,30,4,1
138,2,3,7,1
331,3,1,5,1
292,0,0,5,0
221,1,0,0,0
187,0,2,0,0
247,3,3,8,1
836,1,24,8,1
259,3,3,3,0
745,2,10,8,1
147,5,0,2,0
134,5,3,10,1
335,2,1,1,0
517,2,18,10,1
701,1,23,7,1
56,2,2,1,0
37,2,2,2,0
170,2,9,2,0
131,1,2,4,0
125,2,3,6,0
475,1,16,4,1
200,4,0,2,0
183,0,2,0,0
388,5,17,5,1
858,10,30,6,1
97,0,0,0,0
82,5,2,2,0
258,1,3,1,0
161,4,8,8,1
139,5,11,5,1
685,3,24,10,1
209,0,8,1,0
703,4,6,10,1
182,0,1,1,0
204,1,1,0,0
236,8,19,7,1
491,3,3,1,0
513,4,4,1,1
54,1,6,0,0
202,2,3,0,0
171,0,1,0,0
448,9,10,9,1
615,7,7,7,1
31,0,2,5,0
339,2,1,2,0
118,2,3,0,0
156,1,1,1,0
214,1,2,3,0
110,0,3,1,0
114,0,2,0,0
140,1,3,4,0
602,10,16,6,1
53,2,2,2,0
50,10,0,4,1
284,2,3,1,0
413,8,28,4,1
160,3,2,9,1
226,0,3,0,0
214,2,21,10,1
178,8,22,10,1
339,5,19,9,1
226,4,8,9,1
78,5,19,3,1
810,7,16,4,1
772,4,14,2,1
199,0,2,4,0
54,2,11,5,1
218,1,7,3,0
272,1,2,1,0
267,1,4,1,0
119,0,3,1,0
889,3,20,7,1
151,3,11,4,1
394,1,2,2,0
560,3,23,9,1
57,1,10,2,0
253,2,6,2,0
299,0,2,0,0
62,2,2,0,0
205,1,1,1,0
345,3,3,1,0
863,2,22,10,1
21,2,1,1,0
66,0,0,2,0
368,1,4,1,0
837,7,26,3,1
87,0,1,0,0
195,1,0,0,0
476,8,18,9,1
753,1,5,3,1
614,0,16,5,1
400,3,29,8,1
947,8,23,4,1
868,7,3,9,1
376,0,7,5,1
687,3,13,1,1
262,1,0,0,0
996,9,2,8,1
993,5,18,5,1
133,0,1,1,0
301,8,23,10,1
224,4,26,2,1
282,4,26,6,1
360,2,1,5,0
429,2,1,4,0
212,9,26,7,1
498,7,10,5,1
267,3,1,6,0
332,7,5,6,1
165,1,2,0,0
228,1,2,2,0
498,10,17,7,1
76,0,7,6,0
79,2,8,5,0
96,1,0,0,0
205,0,0,2,0
74,2,3,4,0
216,10,24,3,1
46,0,7,0,0
263,1,0,2,0
216,1,0,5,0
938,6,0,9,1
47,0,0,1,0
820,10,5,9,1
228,1,0,2,0
292,1,3,1,0
165,5,23,0,1
89,4,26,4,1
157,2,0,0,0
90,0,2,2,0
112,3,12,3,1
98,2,0,2,0
145,1,3,0,0
719,9,2,8,1
240,1,1,1,0
243,8,30,7,1
69,0,3,1,0
781,10,3,0,1
99,10,8,7,1
560,5,0,4,1
140,2,0,1,0
103,2,2,2,0
853,2,25,1,1
110,5,0,2,0
696,4,3,3,1
401,0,1,0,0
758,10,26,0,1
62,1,1,2,0
107,2,0,2,0
882,9,23,2,1
196,1,0,6,0
206,5,3,1,0
248,4,10,1,0
270,2,1,1,0
44,2,2,0,0
127,0,0,2,0
168,4,6,0,1
850,6,4,3,1
283,0,0,1,0
107,2,3,2,0
891,3,18,4,1
714,2,16,9,1
297,5,6,2,1
558,6,0,10,1
261,0,0,4,0
213,2,10,4,0
178,7,19,9,1
297,9,14,3,1
92,1,1,1,0
141,1,2,1,0
286,3,23,3,1
292,2,3,0,0
137,7,3,1,1
159,0,2,1,0
214,5,29,4,1
178,0,0,1,0
268,0,1,0,0
706,4,6,7,1
82,2,3,2,0
253,1,0,2,0
542,2,22,3,1
641,10,14,3,1
82,6,22,1,1
895,4,22,2,1
371,0,4,6,1
275,0,9,1,0
295,0,1,0,0
389,1,27,2,1
613,2,10,9,1
330,10,10,5,1
47,2,0,2,0
291,9,22,6,1
290,0,9,3,0
425,0,2,1,0
161,5,27,6,1
717,5,30,4,1
623,4,25,3,1
615,2,14,4,1
158,2,4,1,0
88,2,27,7,1
257,4,3,1,0
204,2,0,2,0
299,1,8,2,0
696,6,28,8,1
62,2,27,8,1
495,1,1,3,0
336,3,27,0,1
165,0,1,1,0
730,0,19,8,1
244,0,0,0,0
358,0,21,6,1
399,1,2,0,0
167,2,12,7,1
41,1,3,3,0
879,5,7,8,1
73,2,2,0,0
659,1,13,5,1
139,5,0,1,0
254,0,0,1,0
318,2,3,0,0
884,4,5,8,1
748,10,17,1,1
174,5,6,2,0
866,3,15,3,1
201,0,1,0,0
59,0,1,2,0
218,1,1,1,0
755,9,6,6,1
910,9,9,5,1
208,2,1,1,0
160,2,2,0,0
171,1,1,1,0
241,0,0,3,0
383,0,19,4,1
676,5,24,5,1
474,6,7,7,1
100,7,21,6,1
187,8,15,6,1
247,0,1,2,0
232,6,29,9,1
23,4,2,6,0
194,3,19,3,1
220,4,3,1,0
246,1,2,4,0
962,10,8,3,1
476,0,1,2,0
493,3,1,4,0
221,1,4,1,0
770,0,15,7,1
107,2,2,1,0
295,4,3,0,0
174,6,29,5,1
188,2,1,2,0
105,1,3,5,0
689,10,21,1,1
170,2,2,2,0
96,2,0,5,0
337,1,4,3,1
118,1,1,2,0
287,1,8,2,0
956,6,5,7,1
153,2,0,4,0
89,1,2,1,0
860,9,13,10,1
71,2,0,1,0
247,10,2,6,1
364,10,11,1,1
183,2,0,5,0
214,2,0,0,0
49,2,3,2,0
665,6,23,2,1
170,4,20,7,1
638,6,21,1,1
82,5,30,8,1
188,2,17,9,1
364,3,23,6,1
106,0,3,0,0
199,2,2,0,0
961,7,1,4,1
790,9,13,1,1
120,1,3,0,0
823,4,7,10,1
755,10,26,5,1
295,2,23,4,1
460,3,15,4,1
356,10,17,4,1
37,2,2,0,0
173,0,9,0,0
114,7,11,3,1
237,8,10,3,1
727,2,1,10,1
203,2,3,1,0
400,0,0,1,0
846,3,16,5,1
204,2,3,0,0
150,2,3,1,0
74,1,3,0,0
480,4,28,9,1
156,3,11,6,1
198,2,0,0,0
290,2,2,2,0
917,6,2,3,1
130,1,2,2,0
75,1,0,2,0
292,0,1,0,0
30,5,3,1,0
533,1,30,5,1
182,2,26,10,1
87,0,3,2,0
284,2,6,1,0
124,2,0,2,0
735,7,16,2,1
119,5,23,1,1
778,4,28,6,1
75,3,0,1,0
106,2,0,6,0
113,0,2,4,0
270,1,2,0,0
223,2,0,0,0
119,9,9,10,1
147,4,2,4,1
413,8,24,1,1
288,0,3,1,0
180,0,25,10,1
120,7,5,2,1
224,0,3,2,0
224,2,3,2,0
224,1,1,3,0
479,1,0,1,0
67,2,0,0,0
228,1,1,5,0
172,2,1,1,0
215,1,1,0,0
260,0,0,0,0
523,2,12,4,1
137,0,3,1,0
180,9,3,10,1
155,5,9,2,0
265,3,3,2,0
398,1,0,1,0
70,9,17,1,1
718,2,4,8,1
252,9,29,3,1
383,1,1,0,0
188,2,2,1,0
196,0,1,0,0
640,3,16,2,1
93,0,0,4,0
305,8,12,4,1
70,2,7,2,0
328,1,2,1,0
134,9,2,8,1
225,2,1,2,0
164,3,0,2,0
130,6,23,4,1
559,4,19,4,1
73,8,11,9,1
217,0,3,0,0
919,0,16,8,1
239,0,4,2,0
298,2,6,1,0
250,5,5,2,0
60,1,7,3,0
32,1,2,0,0
119,1,0,3,0
706,7,27,7,1
973,5,21,8,1
244,2,0,0,0
896,3,17,8,1
279,5,2,2,0
600,8,15,6,1
318,7,26,5,1
405,1,1,2,0
189,0,2,0,0
533,2,5,4,1
68,0,1,2,0
638,7,25,9,1
643,5,27,6,1
871,8,6,6,1
95,1,3,1,0
65,0,4,2,0
35,2,0,2,0
373,4,1,3,0
239,1,0,2,0
394,9,5,5,1
122,5,3,3,1
493,9,6,9,1
200,1,18,6,1
45,2,3,4,0
200,3,2,0,0
290,1,2,2,0
420,0,11,4,1
289,9,4,10,1
664,10,6,7,1
184,1,0,8,1
302,2,1,0,0
195,3,12,9,1
223,1,0,5,0
151,9,23,6,1
108,0,1,6,0
148,2,15,3,1
271,4,4,2,0
805,3,30,0,1
37,1,3,2,0
267,2,1,0,0
230,0,3,2,0
51,2,24,3,1
855,4,3,10,1
298,3,22,8,1
470,1,3,1,0
175,0,0,1,0
51,2,4,2,0
351,10,7,4,1
212,0,0,2,0
30,1,3,0,0
27,1,6,2,0
103,4,0,2,0
230,1,2,2,0
67,7,22,9,1
253,2,1,1,0
111,1,20,6,1
168,2,7,2,0
164,10,12,9,1
240,0,2,0,0
197,6,14,4,1
230,0,1,0,0
242,1,1,4,0
691,3,26,3,1
62,0,3,2,0
292,1,2,1,0
496,4,4,0,1
213,0,0,4,0
106,3,3,1,0
278,2,7,7,1
771,0,12,8,1
282,2,1,0,0
203,2,24,2,1
409,10,25,4,1
87,0,3,1,0
78,8,17,2,1
181,7,30,6,1
350,6,3,5,1
57,0,2,0,0
192,0,29,4,1
178,3,1,0,0
294,0,2,1,0
172,4,18,7,1
61,3,0,6,1
66,1,1,1,0
137,1,3,0,0
425,3,13,5,1
52,2,0,0,0
953,8,9,4,1
962,10,24,3,1
187,2,0,2,0
199,2,8,2,0
193,1,1,1,0
138,5,8,7,1
830,5,29,5,1
241,2,10,2,0
213,0,4,0,0
967,3,28,3,1
47,1,1,0,0
126,2,0,2,0
735,7,30,1,1
53,3,8,4,1
683,5,0,2,1
132,2,2,6,0
94,3,2,2,0
177,1,1,2,0
28,4,1,1,0
694,3,23,5,1
29,5,5,2,0
81,1,3,1,0
966,10,20,10,1
971,0,13,3,1
106,8,17,3,1
364,6,20,3,1
60,6,7,8,1
98,0,8,1,0
259,2,7,7,1
165,0,20,4,1
288,4,0,4,0
250,2,3,1,0
172,9,2,6,1
77,3,3,2,0
908,2,27,9,1
295,0,3,1,0
222,2,0,2,0
208,2,15,0,1
84,2,0,3,1
513,2,23,3,1
181,2,1,2,0
135,2,2,1,0
132,2,2,0,0
136,6,18,4,1
281,1,3,0,0
38,1,2,1,0
350,9,7,1,1
86,5,27,8,1
127,1,1,1,0
924,8,15,10,1
30,0,1,1,0
589,8,20,6,1
130,5,13,4,1
183,2,2,5,0
172,2,0,4,1
169,0,8,6,0
146,4,12,7,1
900,2,2,1,1
194,10,27,5,1
429,4,21,9,1
62,1,1,0,0
230,3,14,7,1
445,1,2,1,0
83,4,2,0,0
323,3,25,3,1
131,8,10,3,1
222,2,0,0,0
338,6,25,4,1
117,2,3,4,0
275,2,0,0,0
791,9,27,6,1
502,6,4,5,1
129,1,3,4,0
959,5,21,5,1
122,4,20,8,1
647,3,22,8,1
331,0,3,2,0
51,2,1,0,0
228,1,0,0,0
127,6,28,10,1
41,2,0,2,0
62,2,3,0,0
795,5,14,1,1
453,6,8,7,1
59,0,2,1,0
259,2,0,2,0
142,3,26,9,1
204,2,1,2,0
78,8,17,10,1
193,2,2,1,0
161,8,26,9,1
310,0,2,8,1
188,0,1,0,0
174,0,4,2,0
174,1,2,2,0
146,5,10,5,0
505,5,7,10,1
602,8,28,6,1
435,9,6,5,1
142,0,0,1,0
842,2,16,4,1
829,1,6,6,1
237,1,4,3,1
433,1,2,2,0
331,3,8,10,1
613,8,15,4,1
251,1,0,0,0
131,1,0,1,0
285,1,2,1,0
59,4,1,2,0
231,0,1,2,0
127,2,15,7,1
394,3,22,0,1
237,1,1,1,0
291,5,1,0,0
215,1,5,2,0
274,1,2,2,0
969,4,26,6,1
239,2,2,2,0
459,2,7,8,1
28,0,0,2,0
208,2,0,2,0
411,2,3,2,0
741,2,21,8,1
447,6,21,9,1
42,2,3,1,0
79,0,3,2,0
322,9,22,9,1
731,10,3,0,1
736,5,29,9,1
152,2,23,10,1
163,2,25,3,1
213,2,9,1,0
147,0,0,1,0
109,2,17,6,1
875,2,21,7,1
182,1,0,0,0
658,3,16,10,1
646,4,25,9,1
645,6,23,3,1
493,2,5,1,0
249,7,10,9,1
162,2,4,0,0
259,10,20,7,1
273,2,0,0,0
163,0,3,4,0
286,0,9,1,0
407,10,10,3,1
245,5,28,7,1
193,7,18,1,1
190,6,13,6,1
689,10,27,9,1
946,7,16,10,1
802,4,10,4,1
125,5,28,5,1
209,1,2,0,0
27,4,2,4,0
75,0,2,10,1
839,6,0,8,1
442,0,23,5,1
653,9,30,9,1
247,2,4,5,0
719,4,5,5,1
152,3,20,2,1
218,1,3,3,0
434,4,8,7,1
135,0,3,0,1
483,0,15,7,1
250,10,0,4,1
205,1,0,2,0
149,2,0,0,0
111,2,0,2,0
172,0,0,6,0
119,2,9,6,1
48,2,9,1,0
257,0,2,0,0
134,2,22,9,1
80,0,30,2,1
474,2,3,0,0
528,7,5,8,1
238,0,10,0,0
432,2,2,4,0
637,8,26,10,1
394,9,3,8,1
189,10,26,4,1
472,2,1,2,0
730,4,15,0,1
266,3,15,6,1
269,4,1,2,0
127,2,2,5,0
350,6,1,7,1
130,1,2,5,0
866,7,5,8,1
699,3,5,3,1
799,9,1,8,1
345,0,1,1,0
491,3,2,2,0
869,5,24,3,1
35,2,3,2,0
174,4,3,4,0
208,0,3,4,0
99,2,3,3,0
80,2,3,0,0
259,7,0,5,1
577,3,19,5,1
62,0,3,3,0
273,0,1,2,0
283,3,11,9,1
325,1,0,2,0
92,1,0,1,0
418,0,2,2,0
88,9,27,6,1
743,10,15,10,1
171,4,1,6,1
88,4,2,2,0
354,2,2,1,0
71,2,8,2,0
84,2,2,2,0
39,0,0,1,0
55,4,10,10,1
160,1,1,2,0
242,0,5,1,0
264,2,1,0,0
361,3,14,10,1
490,3,30,1,1
812,10,6,3,1
266,2,5,4,0
237,1,0,1,0
61,4,17,3,1
160,1,2,2,0
60,1,2,2,0
156,2,4,8,1
58,0,2,2,0
121,0,27,4,1
234,4,25,5,1
881,5,26,4,1
384,2,1,0,0
223,2,1,2,0
275,2,2,2,0
153,1,1,1,0
199,4,24,8,1
414,1,1,0,0
39,1,2,0,0
243,2,1,2,0
29,0,2,0,0
305,2,6,10,1
469,0,10,3,1
226,2,0,1,0
446,0,2,0,0
155,9,30,1,1
156,3,3,0,0
55,2,1,0,0
256,0,1,1,0
82,3,17,6,1
142,9,24,10,1
238,1,2,1,0
95,1,3,1,0
799,2,5,8,1
56,2,3,0,0
179,4,1,2,0
188,2,24,8,1
705,9,23,9,1
367,3,2,2,0
602,2,7,5,1
247,0,0,0,0
523,7,18,7,1
234,1,3,1,0
317,0,1,1,0
447,2,0,0,0
385,3,25,8,1
456,3,11,10,1
311,2,23,9,1
138,2,11,3,1
114,0,8,1,0
73,3,1,0,0
574,9,1,5,1
310,9,16,1,1
249,0,3,2,0
425,6,2,5,1
153,8,6,6,1
975,8,20,5,1
20,1,1,2,0
513,5,21,8,1
22,2,2,2,0
37,1,2,2,0
157,0,23,8,1
156,1,3,2,0
145,1,2,0,0
276,8,14,6,1
660,6,4,7,1
299,7,10,8,1
161,6,16,4,1
952,8,27,5,1
419,1,2,0,0
531,3,25,3,1
157,0,5,4,0
29,2,3,5,0
446,8,3,10,1
38,1,6,1,0
869,10,8,3,1
804,10,15,3,1
722,10,17,1,1
282,0,5,6,0
927,8,9,9,1
57,2,0,5,0
789,0,14,0,1
197,0,3,0,0
435,0,1,2,0
228,2,8,6,0
157,2,0,2,0
286,1,10,2,0
287,1,3,1,0
70,4,5,6,1
38,0,0,2,0
262,1,2,0,0
276,1,7,2,0
420,3,20,1,1
269,2,1,0,0
316,2,13,8,1
199,2,2,0,0
874,1,1,5,1
690,2,11,8,1
95,5,1,0,0
766,10,11,10,1
181,0,2,2,0
167,0,9,1,0
80,2,3,0,0
211,1,2,1,0
136,2,0,5,0
382,5,4,9,1
549,3,22,5,1
225,3,2,1,0
153,2,10,5,0
429,1,3,4,0
678,9,16,3,1
721,3,5,0,1
119,2,0,5,0
445,0,3,2,0
640,2,29,7,1
74,0,1,1,0
149,1,3,2,0
56,0,3,1,0
184,2,0,2,0
410,5,22,9,1
177,2,3,0,0
291,1,1,2,0
473,1,0,2,0
146,0,2,1,0
206,0,2,0,0
869,7,12,0,1
209,3,3,3,0
984,4,17,9,1
237,0,3,2,0
576,0,12,3,1
357,1,3,1,0
297,2,1,2,0
841,4,15,9,1
226,3,5,5,1
184,9,28,7,1
255,2,0,0,0
53,0,0,1,0
985,3,10,3,1
125,8,28,4,1
981,3,13,7,1
294,1,0,1,0
496,2,2,2,0
94,1,2,0,0
301,10,30,3,1
753,8,11,8,1
436,10,10,1,1
979,5,1,7,1
277,1,1,0,0
36,2,1,3,0
418,1,21,6,1
21,1,7,3,0
596,1,3,5,1
930,0,8,7,1
39,0,0,2,0
174,1,3,2,0
126,0,0,1,0
594,6,19,3,1
267,5,2,1,0
257,0,2,2,0
245,2,1,2,0
30,0,2,4,0
47,5,0,0,0
294,2,3,3,0
446,6,7,9,1
306,2,7,0,0
158,9,12,7,1
806,10,23,7,1
324,0,8,3,0
76,1,15,4,1
935,9,17,10,1
304,10,12,5,1
281,1,1,0,0
127,5,23,10,1
521,4,14,8,1
328,10,30,10,1
291,2,2,4,0
716,0,2,6,1
859,8,15,0,1
371,2,9,5,1
197,2,3,1,0
82,0,24,6,1
932,6,7,5,1
617,2,14,6,1
239,2,0,0,0
112,1,2,0,0
200,1,0,0,0
76,1,3,2,0
402,1,1,1,0
426,1,0,0,0
415,6,29,6,1
215,2,1,1,0
515,7,29,2,1
397,1,1,2,0
893,9,6,10,1
496,1,0,0,0
242,2,2,1,0
29,0,1,2,0
34,1,2,0,0
499,2,19,4,1
814,7,7,7,1
997,4,30,3,1
193,2,0,8,1
686,5,23,9,1
288,5,1,2,0
598,9,20,6,1
949,8,19,9,1
821,8,7,7,1
226,0,25,8,1
161,1,3,1,0
855,2,15,3,1
474,8,23,6,1
192,1,0,2,0
249,0,3,2,0
633,8,5,10,1
857,2,25,0,1
103,10,5,7,1
505,4,25,6,1
536,9,5,10,1
477,2,29,3,1
785,5,17,4,1
475,4,15,8,1
224,1,0,2,0
115,1,3,1,0
197,10,21,8,1
192,3,9,9,1
485,1,2,1,0
316,8,11,8,1
64,5,9,2,1
53,2,16,6,1
497,3,5,7,1
157,3,13,9,1
281,2,11,6,1
380,2,5,2,0
46,2,1,0,0
978,6,3,3,1
90,7,17,8,1
273,2,2,5,0
573,5,27,4,1
291,4,1,10,1
390,7,26,5,1
133,0,10,2,0
449,2,0,8,1
466,0,28,9,1
239,1,0,3,0
56,0,8,1,0
123,2,6,1,0
288,10,21,3,1
640,4,2,0,1
548,5,2,10,1
234,1,0,5,0
493,4,30,2,1
191,1,0,2,0
68,2,2,0,0
48,2,0,5,0
159,5,1,2,0
443,0,3,1,0
162,0,3,1,0
954,9,8,6,1
204,1,0,6,0
57,1,1,2,0
181,1,4,3,0
469,7,2,10,1
132,0,26,5,1
235,1,0,1,0
41,0,3,2,0
608,10,8,6,1
173,2,18,6,1
118,0,1,5,1
152,2,1,6,0
256,2,8,10,1
568,4,17,10,1
738,7,22,8,1
277,3,0,1,0
198,1,7,3,0
298,2,2,3,0
195,5,6,1,1
757,9,12,7,1
208,2,0,0,0
22,1,3,4,0
232,10,26,3,1
507,0,21,8,1
188,2,9,3,0
330,1,3,3,1
161,4,4,1,1
89,2,3,1,0
127,9,2,7,1
114,10,28,9,1
144,0,8,2,0
137,7,18,7,1
953,8,14,3,1
704,2,9,10,1
96,2,3,2,0
935,5,18,9,1
273,2,3,1,0
982,6,8,8,1
788,7,25,10,1
78,5,3,2,0
220,2,1,1,0
167,0,2,0,0
639,2,2,5,1
274,0,0,1,0
121,7,29,3,1
612,10,20,4,1
221,1,5,2,0
471,2,9,6,1
199,2,0,4,1
156,2,1,0,0
108,4,16,9,1
885,3,14,5,1
256,3,23,4,1
73,4,3,0,0
149,3,30,2,1
151,0,0,5,0
194,2,1,0,0
157,2,13,5,1
101,3,0,1,1
704,5,30,2,1
908,3,10,5,1
337,9,25,4,1
